Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (FBS),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FBS","Food Balances (2010-)","788","Tunisia","5154","Other uses (non-food)","S2580","Olive Oil","2018","2018","1000 t","0","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","788","Tunisia","5170","Residuals","S2580","Olive Oil","2018","2018","1000 t","0","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","788","Tunisia","5142","Food","S2580","Olive Oil","2018","2018","1000 t","52","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","788","Tunisia","645","Food supply quantity (kg/capita/yr)","S2580","Olive Oil","2018","2018","kg/cap","4.46","E","Estimated value",""
"FBS","Food Balances (2010-)","788","Tunisia","664","Food supply (kcal/capita/day)","S2580","Olive Oil","2018","2018","kcal/cap/d","109.9","E","Estimated value",""
"FBS","Food Balances (2010-)","788","Tunisia","661","Food supply (kcal)","S2580","Olive Oil","2018","2018","million Kcal","471970.87","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","788","Tunisia","674","Protein supply quantity (g/capita/day)","S2580","Olive Oil","2018","2018","g/cap/d","0","E","Estimated value",""
"FBS","Food Balances (2010-)","788","Tunisia","671","Protein supply quantity (t)","S2580","Olive Oil","2018","2018","t","0","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","788","Tunisia","684","Fat supply quantity (g/capita/day)","S2580","Olive Oil","2018","2018","g/cap/d","12.2","E","Estimated value",""
"FBS","Food Balances (2010-)","788","Tunisia","681","Fat supply quantity (t)","S2580","Olive Oil","2018","2018","t","52392.12","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","788","Tunisia","5511","Production","S2580","Olive Oil","2019","2019","1000 t","253","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","788","Tunisia","5611","Import quantity","S2580","Olive Oil","2019","2019","1000 t","2","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","788","Tunisia","5072","Stock Variation","S2580","Olive Oil","2019","2019","1000 t","18","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","788","Tunisia","5911","Export quantity","S2580","Olive Oil","2019","2019","1000 t","174","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","788","Tunisia","5301","Domestic supply quantity","S2580","Olive Oil","2019","2019","1000 t","63","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","788","Tunisia","5154","Other uses (non-food)","S2580","Olive Oil","2019","2019","1000 t","0","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","788","Tunisia","5170","Residuals","S2580","Olive Oil","2019","2019","1000 t","0","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","788","Tunisia","5142","Food","S2580","Olive Oil","2019","2019","1000 t","62","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","788","Tunisia","645","Food supply quantity (kg/capita/yr)","S2580","Olive Oil","2019","2019","kg/cap","5.24","E","Estimated value",""
"FBS","Food Balances (2010-)","788","Tunisia","664","Food supply (kcal/capita/day)","S2580","Olive Oil","2019","2019","kcal/cap/d","129.24","E","Estimated value",""
"FBS","Food Balances (2010-)","788","Tunisia","661","Food supply (kcal)","S2580","Olive Oil","2019","2019","million Kcal","560195.51","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","788","Tunisia","674","Protein supply quantity (g/capita/day)","S2580","Olive Oil","2019","2019","g/cap/d","0","E","Estimated value",""
"FBS","Food Balances (2010-)","788","Tunisia","671","Protein supply quantity (t)","S2580","Olive Oil","2019","2019","t","0","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","788","Tunisia","684","Fat supply quantity (g/capita/day)","S2580","Olive Oil","2019","2019","g/cap/d","14.35","E","Estimated value",""
"FBS","Food Balances (2010-)","788","Tunisia","681","Fat supply quantity (t)","S2580","Olive Oil","2019","2019","t","62185.37","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","788","Tunisia","5511","Production","S2580","Olive Oil","2020","2020","1000 t","415","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","788","Tunisia","5611","Import quantity","S2580","Olive Oil","2020","2020","1000 t","3","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","788","Tunisia","5072","Stock Variation","S2580","Olive Oil","2020","2020","1000 t","-16","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","788","Tunisia","5911","Export quantity","S2580","Olive Oil","2020","2020","1000 t","381","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","788","Tunisia","5301","Domestic supply quantity","S2580","Olive Oil","2020","2020","1000 t","53","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","788","Tunisia","5154","Other uses (non-food)","S2580","Olive Oil","2020","2020","1000 t","0","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","788","Tunisia","5170","Residuals","S2580","Olive Oil","2020","2020","1000 t","0","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","788","Tunisia","5142","Food","S2580","Olive Oil","2020","2020","1000 t","53","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","788","Tunisia","645","Food supply quantity (kg/capita/yr)","S2580","Olive Oil","2020","2020","kg/cap","4.45","E","Estimated value",""
"FBS","Food Balances (2010-)","788","Tunisia","664","Food supply (kcal/capita/day)","S2580","Olive Oil","2020","2020","kcal/cap/d","109.8","E","Estimated value",""
"FBS","Food Balances (2010-)","788","Tunisia","661","Food supply (kcal)","S2580","Olive Oil","2020","2020","million Kcal","479863.11","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","788","Tunisia","674","Protein supply quantity (g/capita/day)","S2580","Olive Oil","2020","2020","g/cap/d","0","E","Estimated value",""
"FBS","Food Balances (2010-)","788","Tunisia","671","Protein supply quantity (t)","S2580","Olive Oil","2020","2020","t","0","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","788","Tunisia","684","Fat supply quantity (g/capita/day)","S2580","Olive Oil","2020","2020","g/cap/d","12.19","E","Estimated value",""
"FBS","Food Balances (2010-)","788","Tunisia","681","Fat supply quantity (t)","S2580","Olive Oil","2020","2020","t","53265.07","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","788","Tunisia","5511","Production","S2580","Olive Oil","2021","2021","1000 t","153","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","788","Tunisia","5611","Import quantity","S2580","Olive Oil","2021","2021","1000 t","1","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","788","Tunisia","5072","Stock Variation","S2580","Olive Oil","2021","2021","1000 t","-79","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","788","Tunisia","5911","Export quantity","S2580","Olive Oil","2021","2021","1000 t","201","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","788","Tunisia","5301","Domestic supply quantity","S2580","Olive Oil","2021","2021","1000 t","32","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","788","Tunisia","5170","Residuals","S2580","Olive Oil","2021","2021","1000 t","-8","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","788","Tunisia","5142","Food","S2580","Olive Oil","2021","2021","1000 t","41","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","788","Tunisia","645","Food supply quantity (kg/capita/yr)","S2580","Olive Oil","2021","2021","kg/cap","3.37","E","Estimated value",""
"FBS","Food Balances (2010-)","788","Tunisia","664","Food supply (kcal/capita/day)","S2580","Olive Oil","2021","2021","kcal/cap/d","83.16","E","Estimated value",""
"FBS","Food Balances (2010-)","788","Tunisia","661","Food supply (kcal)","S2580","Olive Oil","2021","2021","million Kcal","365706","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","788","Tunisia","674","Protein supply quantity (g/capita/day)","S2580","Olive Oil","2021","2021","g/cap/d","0","E","Estimated value",""
